#OTUID	taxonomy	confidence
712f4fa7c90031ad92d65de38ac1884e	 kingdom_Eukaryota;supergroup_Alveolata;division_Ciliophora;class_Phyllopharyngea;order_Suctoria;family_Suctoria_X;genus_Suctoria_XX;species_Suctoria_XX_sp.	0.9999999898508349
511461f875ba854f26a918ea62496e06	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Arthropoda;order_Crustacea;family_Maxillopoda	0.9999895861623652
664c11056bab2672d1438e7aada69439	 kingdom_Eukaryota;supergroup_Rhizaria;division_Radiolaria;class_Polycystinea;order_Collodaria;family_Sphaerozoidae;genus_Sphaerozoum	0.7566106255925876
c104ba5a3c3ed119dbab8240b1ba1972	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae	0.999999993394395
1af82836b76bafcb5c93ec82c7ef68cb	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae;order_Prorocentrales;family_Prorocentraceae;genus_Prorocentrum;species_Prorocentrum_sp.	0.8719775529576107
dfe342a65c6f9dbef8cdfb81cc689b81	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Urochordata;order_Urochordata_X;family_Appendicularia;genus_Oikopleura;species_Oikopleura_dioica	0.9999999976895424
8d36d4716c3478ffe62270edaa52a8f2	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Syndiniales;order_Dino-Group-I;family_Dino-Group-I-Clade-4;genus_Dino-Group-I-Clade-4_X;species_Dino-Group-I-Clade-4_X_sp.	0.9999999999985789
30a6c4b3119db2c38e80cd632cd5bba5	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Syndiniales;order_Dino-Group-II;family_Dino-Group-II-Clade-22;genus_Dino-Group-II-Clade-22_X;species_Dino-Group-II-Clade-22_X_sp.	0.9999999996215365
09ef155ae34a2b2dab7bb16aba8b6df1	 kingdom_Eukaryota;supergroup_Rhizaria;division_Radiolaria;class_Acantharea;order_Acantharea-Group-I;family_Acantharea-Group-I_X;genus_Acantharea-Group-I_XX;species_Acantharea-Group-I_XX_sp.	0.9999999972942248
2754f8145001f59f68a3e6943834c866	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Arthropoda;order_Crustacea;family_Maxillopoda;genus_Maxillopoda_X;species_Maxillopoda_X_sp.	0.9381168007023923
eb3b367d1a834a6b6651108d5930baf9	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Urochordata;order_Urochordata_X;family_Ascidiacea;genus_Doliolum	0.9228545852742005
e2a5daa4ee1d86569f943ce9ef3e194c	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Opisthokonta_X;class_Opisthokonta_XX;order_Opisthokonta_XXX;family_Opisthokonta_XXXX;genus_Opisthokonta_XXXXX;species_Opisthokonta_XXXXX_sp.	0.9999978312314609
02844e36bfee71a127da3fed7d8be4c4	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Syndiniales;order_Dino-Group-III;family_Dino-Group-III_X;genus_Dino-Group-III_XX;species_Dino-Group-III_XX_sp.	0.999951881189577
38e61e25ca811122ae2807c3de6735f9	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Opisthokonta_X;class_Opisthokonta_XX;order_Opisthokonta_XXX;family_Opisthokonta_XXXX;genus_Opisthokonta_XXXXX;species_Opisthokonta_XXXXX_sp.	0.9999987041383788
15b4e28e2e78e651ff42b1c6c4e7fb5c	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae;order_Prorocentrales;family_Prorocentraceae;genus_Prorocentrum;species_Prorocentrum_sp.	0.948649138466121
44b385321b2925ef3e876fafc38f84b7	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Arthropoda;order_Crustacea;family_Maxillopoda;genus_Calocalanus;species_Calocalanus_minutus	0.9992542775096287
398bc4bed58b1799b573fe03a554862a	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae;order_Gymnodiniales;family_Gymnodiniaceae;genus_Gyrodinium	0.944664834665376
