sample	K00855	K01601	K01602	K14468	K08691	K14470	K09709	K15039	K15016	K15230	K15231	K03519	K03518	K00320	K14083	K00577	K03390	K05979	K06034	K08097	K13039	K10944	K00370	K00371	K00367	K00372	K00362	K00363	K00368	K15864	K04561	K02305	K00376	K00374	K02567	K02568	K00394	K00395	K11181	K00436	Genome.Size	Gene.Count	sample.y	station	filtersize	Date	Ocean	Depth	Longitude	Latitude	Salinity	T.pot	O2	AOU	WSDW	CDW	NADW_2	NADW_4.6	NADW	AAIW	SAMW	WATERMASS	Basin
MP2016	0.005594405594406	0.005594405594406	0	0	0.067132867132867	0	0	0	0.002797202797203	0	0	0.500699300699301	0.434965034965035	0.198601398601399	0.230769230769231	0	0	0.072727272727273	0.067132867132867	0.00979020979021	0.237762237762238	0.448951048951049	0.005594405594406	0.022377622377622	0	0.032167832167832	0.102097902097902	0.099300699300699	0.507692307692308	0	0	0	0	0	0	0	0.074125874125874	0.034965034965035	0	0	392525984	2097192	2016	109	0.2	22/05/11	Pacific	-4004	-133.26	18.04	34.6897	1.1582	135.0573	203.445	0.2731	0.7038	0	0	0	0.0232	0	CDW	Pacific basin
MP2052	0.009671179883946	0.019342359767892	0	0	0.042553191489362	0.027079303675048	0	0	0	0	0	0.272727272727273	0.11605415860735	0.392649903288201	0.003868471953578	0	0	0	0	0	0.011605415860735	0	0.019342359767892	0.019342359767892	0	0.029013539651838	0.359767891682785	0.27852998065764	0	0	0	0	0	0	0	0	0.158607350096712	0.038684719535783	0	0.11605415860735	425269418	2279302	2052	112	0.8	25/05/11	Pacific	-4002	-124.4738	15.9087	34.6897	1.1733	133.9248	204.448	0.2659	0.7102	0	0	0	0.0239	0	CDW	Pacific basin
MP2053	0	0.007547169811321	0	0	0.026415094339623	0	0.022641509433962	0	0.069811320754717	0	0	0.605660377358491	0.29811320754717	0.267924528301887	0.209433962264151	0	0	0.035849056603774	0.071698113207547	0	0.105660377358491	0.420754716981132	0.073584905660377	0.028301886792453	0	0	0.090566037735849	0.109433962264151	0.645283018867925	0.009433962264151	0.015094339622642	0	0.005660377358491	0	0	0	0.049056603773585	0.032075471698113	0	0	459791732	2531285	2053	112	0.2	25/05/11	Pacific	-4002	-124.4738	15.9087	34.6897	1.1733	133.9248	204.448	0.2659	0.7102	0	0	0	0.0239	0	CDW	Pacific basin
MP2158	0	0	0	0	0	0.087934560327198	0	0	0	0	0	0.186094069529652	0.077709611451943	0.214723926380368	0	0	0	0	0	0	0	0	0	0.006134969325153	0	0.071574642126789	0.572597137014315	0.192229038854806	0	0	0	0	0.053169734151329	0	0	0	0.116564417177914	0.03680981595092	0	0.269938650306748	433455086	2299222	2158	118	0.8	31/05/11	Pacific	-3103	-108.06	12	34.6805	1.4552	113.0293	222.958	0.1424	0.806	0	0	0	0.0516	0	CDW	Pacific basin
MP2159	0.00407450523865	0.012805587892899	0	0	0.005820721769499	0.0046565774156	0.016298020954598	0	0.016298020954598	0	0	0.134458672875437	0.080325960419092	0.179860302677532	0.238067520372526	0.00174621653085	0.006402793946449	0	0.005238649592549	0.0023282887078	0.019208381839348	0	0.087310826542491	0.019208381839348	0	0	0.0046565774156	0.016298020954598	0.043655413271246	0	0	0.007566938300349	0	0	0	0	0.093713620488941	0.042491268917346	0	0	425533184	2265505	2159	118	0.2	31/05/11	Pacific	-3103	-108.06	12	34.6805	1.4552	113.0293	222.958	0.1424	0.806	0	0	0	0.0516	0	CDW	Pacific basin
MP2252	0.13125	0.0296875	0	0	0	0.0125	0.0171875	0	0	0	0	0.0453125	0.0125	0.5640625	0.01875	0	0	0	0	0	0	0	0.0515625	0.03125	0	0.2046875	0.59375	0.4859375	0.021875	0	0	0.0328125	0.0609375	0.0203125	0.0234375	0.0140625	0.0390625	0.00625	0	0.078125	433749654	2244699	2252	121	0.8	03/06/11	Pacific	-3008	-99.2462	10.0927	34.6755	1.6156	103.806	230.837	0.0719	0.8612	0	0	0	0.067	0	CDW	Guatemala basin
MP2253	0.012742382271468	0.013296398891967	0	0	0.001108033240997	0.008310249307479	0.01994459833795	0	0.002770083102493	0	0	0.178393351800554	0.143490304709141	0.112465373961219	0.332409972299169	0.005540166204986	0	0	0	0.00387811634349	0.005540166204986	0	0.115235457063712	0.024930747922438	0	0	0.004986149584488	0.021052631578947	0.028254847645429	0	0	0	0	0	0	0	0.156786703601108	0.062603878116344	0	0	603408235	3216588	2253	121	0.2	03/06/11	Pacific	-3008	-99.2462	10.0927	34.6755	1.6156	103.806	230.837	0.0719	0.8612	0	0	0	0.067	0	CDW	Guatemala basin
MP2497	0.148514851485149	0.023102310231023	0	0	0.072607260726073	0.198019801980198	0	0	0.02970297029703	0	0	0.389438943894389	0.240924092409241	0.696369636963696	0.02970297029703	0	0	0.023102310231023	0	0	0	0.151815181518152	0.115511551155116	0.056105610561056	0	0.399339933993399	1.37623762376238	0.518151815181518	0.013201320132013	0	0.244224422442244	0	0.042904290429043	0	0.056105610561056	0	0	0.036303630363036	0	0.706270627062706	484377899	2603702	2497	131	0.8	25/06/11	Atlantic	-4003	-59.83	17.43	34.9004	1.9688	242.8925	88.2236	0.0179	0.027	0.9551	0	0.9551	0	0	NADW	North American basin
MP2633	0.10167714884696	0.127882599580713	0.005241090146751	0	0.057651991614256	0.09643605870021	0.085953878406709	0	0	0	0	0.30083857442348	0.233752620545073	0.214884696016772	0.140461215932914	0	0	0	0	0	0	0	0.123689727463312	0.054507337526206	0	0.165618448637317	0.589098532494759	0.258909853249476	0.039832285115304	0	0.047169811320755	0.048218029350105	0.066037735849057	0.038784067085954	0.115303983228512	0.051362683438155	0.084905660377359	0.025157232704403	0	0.308176100628931	763368430	4111250	2633	134	0.8	28/06/11	Atlantic	-4003	-52.6367	19.9897	34.8889	1.9211	230.8888	100.6521	0.0319	0.0691	0.899	0	0.899	0	0	NADW	North American basin
MP2634	0.04867634500427	0.051238257899231	0	0	0.034158838599488	0.030742954739539	0.074295473953886	0	0.022203245089667	0	0	0.741246797608881	0.688300597779675	0.39197267292912	0.250213492741247	0	0	0.068317677198975	0.140905209222886	0.017933390264731	0.473099914602904	0.196413321947054	0.089666951323655	0.043552519214347	0	0.081127241673783	0.156276686592656	0.143467122117848	0.27668659265585	0	0	0.024765157984629	0.011955593509821	0.011955593509821	0.038428693424424	0.005123825789923	0.246797608881298	0.134927412467976	0	0.035866780529462	876718041	4592156	2634	134	0.2	28/06/11	Atlantic	-4003	-52.6367	19.9897	34.8889	1.9211	230.8888	100.6521	0.0319	0.0691	0.899	0	0.899	0	0	NADW	North American basin
MP2913	0.174740484429066	0	0	0	0	0.022491349480969	0.046712802768166	0	0.006920415224914	0	0	0.283737024221453	0.380622837370242	0.048442906574395	0.352941176470588	0	0	0	0	0	0.013840830449827	0.147058823529412	0.006920415224914	0	0	0.314878892733564	0.631487889273356	0.155709342560554	0.243944636678201	0	0	0.088235294117647	0	0.006920415224914	0	0	0.354671280276817	0.091695501730104	0	0.079584775086505	780284767	4128506	2913	144	0.8	08/07/11	Atlantic	-4003	-23.69	29.97	34.9071	2.1123	223.5273	106.3875	0	0.0391	0.9197	0.0412	0.9609	0	0	NADW	Canary basin
MP2914	0.145994832041344	0	0	0	0	0	0.016795865633075	0	0.010335917312662	0	0	0.177002583979328	0.211886304909561	0.037467700258398	0.158914728682171	0	0	0.051679586563308	0.003875968992248	0	0.01937984496124	0.467700258397933	0.064599483204134	0.007751937984496	0	0.426356589147287	0.713178294573643	0.214470284237726	0.319121447028424	0	0	0.072351421188631	0	0	0	0	0.161498708010336	0.058139534883721	0	0	449881206	2330612	2914	144	0.2	08/07/11	Atlantic	-4003	-23.69	29.97	34.9071	2.1123	223.5273	106.3875	0	0.0391	0.9197	0.0412	0.9609	0	0	NADW	Canary basin
MP2968	0.05859375	0	0	0	0	0	0	0	0	0	0	0.18359375	0.087890625	0	0.0859375	0	0	0	0	0	0	0	0.021484375	0.005859375	0	0.20703125	0.25390625	0.201171875	0	0	0	0.0703125	0	0.03515625	0	0	0.25	0.142578125	0	0	627854322	3323620	2968	146	0.8	10/07/11	Atlantic	-4002	-17.2662	32.0788	34.9058	2.0997	221.5695	108.4521	0	0.0435	0.9565	0	0.9565	0	0	NADW	Canary basin
MP2969	0.023713420787084	0.004036326942482	0	0	0.004540867810293	0	0.022199798183653	0	0.01664984863774	0	0	0.334006054490414	0.285570131180626	0.244702320887992	0.283047426841574	0	0	0.018668012108981	0.012613521695257	0.010090817356206	0.113017154389506	0	0.060040363269425	0.011604439959637	0	0.087790110998991	0.142280524722503	0.057013118062563	0	0	0	0.013118062563068	0	0	0	0	0.149344096871847	0.066599394550959	0	0	636121274	3380460	2969	146	0.2	10/07/11	Atlantic	-4002	-17.2662	32.0788	34.9058	2.0997	221.5695	108.4521	0	0.0435	0.9565	0	0.9565	0	0	NADW	Canary basin
