sample	K00855	K01601	K01602	K14468	K08691	K14470	K09709	K15039	K15016	K15230	K15231	K03519	K03518	K00320	K14083	K00577	K03390	K05979	K06034	K08097	K13039	K10944	K00370	K00371	K00367	K00372	K00362	K00363	K00368	K15864	K04561	K02305	K00376	K00374	K02567	K02568	K00394	K00395	K11181	K00436	Genome.Size	Gene.Count	sample.y	station	filtersize	Date	Ocean	Depth	Longitude	Latitude	Salinity	T.pot	O2	AOU	WSDW	CDW	NADW_2	NADW_4.6	NADW	AAIW	SAMW	WATERMASS	Basin
MP0371	0.086741016109046	0	0	0	0.007434944237918	0	0.004956629491945	0	0	0	0	0.133828996282528	0.107806691449814	0	0.006195786864932	0	0	0	0.006195786864932	0	0	0	0.086741016109046	0.076827757125155	0	0.168525402726146	0.125154894671623	0.0817843866171	0	0	0	0.047087980173482	0	0.049566294919455	0	0	0.245353159851301	0.133828996282528	0	0	974701605	5159545	371	23	0.8	08/01/11	Atlantic	-4003	-33.41	-15.83	34.8269	1.4542	223.0178	112.5997	0.2211	0.1464	0.6325	0	0.6325	0	0	NADW	Brazil basin
MP0372	0.011541325390916	0.016381236038719	0	0	0.009307520476545	0.008562918838421	0.0536113179449	0	0.001861504095309	0	0	0.368950111690246	0.314966492926284	0.17982129560685	0.212956068503351	0	0	0.027922561429635	0.046909903201787	0.006701414743112	0.141474311243485	0.013402829486225	0.009679821295607	0.011169024571854	0	0.025688756515264	0.024944154877141	0.033879374534624	0.032390171258377	0	0.003350707371556	0.010424422933731	0	0	0	0	0.151898734177215	0.074087862993299	0	0	935848512	4942054	372	23	0.2	08/01/11	Atlantic	-4003	-33.41	-15.83	34.8269	1.4542	223.0178	112.5997	0.2211	0.1464	0.6325	0	0.6325	0	0	NADW	Brazil basin
MP0440	0.053915275994865	0	0	0	0	0.00385109114249	0.014120667522465	0	0	0	0	0.066752246469833	0.056482670089859	0	0.030808729139923	0	0	0	0	0	0	0	0.029525032092426	0.014120667522465	0	0.277278562259307	0.367137355584082	0.133504492939666	0	0	0	0.03209242618742	0	0.00385109114249	0.016688061617458	0	0.093709884467266	0.048780487804878	0	0	762977892	3973945	440	26	0.8	11/01/11	Atlantic	-3907	-36.95	-22.97	34.7347	0.5836	208.8818	134.5072	0.5981	0.1357	0.2662	0	0.2662	0	0	WSDW	Brazil basin
MP0441	0.039124668435013	0.011936339522546	0	0.011273209549072	0.011273209549072	0.006631299734748	0.042440318302387	0	0.004641909814324	0	0	0.240716180371353	0.200928381962865	0.11737400530504	0.158488063660477	0.031167108753316	0	0.021883289124668	0.031167108753316	0	0.053050397877984	0	0.080238726790451	0.020557029177719	0	0.026525198938992	0.074270557029178	0.008620689655172	0.047082228116711	0	0.020557029177719	0.023872679045093	0.017241379310345	0.012599469496021	0	0	0.121352785145889	0.027851458885942	0	0	617505833	3205728	441	26	0.2	11/01/11	Atlantic	-3907	-36.95	-22.97	34.7347	0.5836	208.8818	134.5072	0.5981	0.1357	0.2662	0	0.2662	0	0	WSDW	Brazil basin
MP0555	0.005836575875486	0	0	0	0	0	0	0	0.005836575875486	0	0	0.066147859922179	0.005836575875486	0	0.011673151750973	0	0	0.089494163424125	0	0	0	0	0	0	0	0.186770428015564	0.324902723735409	0.122568093385214	0	0	0	0	0	0	0	0	0.089494163424125	0.019455252918288	0	0	440079239	2226280	555	32	0.8	24/01/11	Atlantic	-3199	-21.43	-26.91	34.9003	2.2513	230.776	98.0147	0	0.112	0.888	0	0.888	0	0	NADW	Brazil basin
MP0556	0	0.005006257822278	0	0	0.003128911138924	0.008760951188986	0.042553191489362	0	0.015644555694618	0	0	0.23279098873592	0.205256570713392	0.10575719649562	0.167709637046308	0	0	0.066332916145182	0.025031289111389	0.005006257822278	0.046933667083855	0.012515644555695	0	0	0	0.048811013767209	0.115769712140175	0.039424280350438	0.010012515644556	0	0	0	0	0	0	0	0.076971214017522	0.016896120150188	0	0	708040820	3724338	556	32	0.2	24/01/11	Atlantic	-3199	-21.43	-26.91	34.9003	2.2513	230.776	98.0147	0	0.112	0.888	0	0.888	0	0	NADW	Brazil basin
MP0626	0.0625	0	0	0	0	0	0	0	0	0	0	0.291666666666667	0.208333333333333	0	0.46875	0	0	0.71875	0	0	0	0	0	0.072916666666667	0	1.03125	1.5	0.541666666666667	0	0	0	0.104166666666667	0	0	0	0	0.510416666666667	0.072916666666667	0	0	518812960	2724520	626	35	0.8	27/01/11	Atlantic	-3662	-11.8	-28.62	34.8613	2.0761	220.6555	109.6728	0	0.2925	0.6449	0.0626	0.7075	0	0	NADW	Out of basins
MP0627	0	0	0	0	0	0.002574002574003	0.027027027027027	0	0.034749034749035	0	0	0.124839124839125	0.109395109395109	0.034749034749035	0.14028314028314	0	0	0.056628056628057	0.009009009009009	0.001287001287001	0.006435006435006	0	0	0	0	0.06949806949807	0.146718146718147	0.036036036036036	0	0	0	0	0	0	0	0	0.064350064350064	0.011583011583012	0	0	252498315	1285056	627	35	0.2	27/01/11	Atlantic	-3662	-11.8	-28.62	34.8613	2.0761	220.6555	109.6728	0	0.2925	0.6449	0.0626	0.7075	0	0	NADW	Out of basins
MP0739	0	0	0	0	0	0	0	0	0	0	0	0.054347826086957	0.114130434782609	0	0	0	0	0.08695652173913	0	0	0	0	0	0.016304347826087	0	0.048913043478261	0.157608695652174	0.032608695652174	0	0	0	0	0	0	0	0	0.282608695652174	0.081521739130435	0	0	183283184	950931	739	41	0.8	02/02/11	Atlantic	-4001	6.84	-31.81	34.8047	1.4922	205.7978	129.5553	0.1778	0.3203	0.5019	0	0.5019	0	0	NADW	Agulhas-Cape basin
MP0740	0	0.017015706806283	0	0	0	0.031413612565445	0.073298429319372	0	0.032722513089005	0	0	0.547120418848168	0.359947643979058	0.302356020942408	0.511780104712042	0.034031413612565	0	0.092931937172775	0.011780104712042	0.019633507853403	0.102094240837696	0.208115183246073	0.117801047120419	0.040575916230367	0	0.102094240837696	0.100785340314136	0.087696335078534	0.218586387434555	0	0	0	0	0	0	0	0.215968586387435	0.099476439790576	0	0	551995115	2785981	740	41	0.2	02/02/11	Atlantic	-4001	6.84	-31.81	34.8047	1.4922	205.7978	129.5553	0.1778	0.3203	0.5019	0	0.5019	0	0	NADW	Agulhas-Cape basin
MP0758	0	0	0	0	0	0.015817223198594	0	0	0	0	0	0.070298769771529	0.028119507908612	0.231985940246046	0.040421792618629	0	0	0	0	0	0	0	0	0.047451669595782	0	0.008787346221441	0.12829525483304	0.12829525483304	0	0	0	0.015817223198594	0	0	0	0	0.056239015817223	0.043936731107206	0	0	579195992	3042821	758	43	0.8	04/02/11	Atlantic	-3902	12.7692	-32.8128	34.7503	0.9196	199.2961	141.1105	0.4321	0.272	0.2959	0	0.2959	0	0	WSDW	Agulhas-Cape basin
MP0759	0.041773231031543	0.064791133844842	0	0	0.003410059676044	0.050298380221654	0.050298380221654	0	0.090366581415175	0	0	0.310315430520034	0.356351236146633	0.184995737425405	0.618925831202046	0.120204603580563	0	0.017902813299233	0.011082693947144	0.008525149190111	0.045183290707587	0.190963341858483	0.10230179028133	0.011935208866155	0	0.038363171355499	0.025575447570333	0.037510656436488	0.259164535379369	0.011082693947144	0	0	0	0	0	0	0.182438192668372	0.099744245524297	0	0	637391816	3235959	759	43	0.2	04/02/11	Atlantic	-3902	12.7692	-32.8128	34.7503	0.9196	199.2961	141.1105	0.4321	0.272	0.2959	0	0.2959	0	0	WSDW	Agulhas-Cape basin
