taxonomic_group	taxon_primer_hits	taxon_primer_misses	taxon_total_observed	total_filtered_seqs	fraction_total_filtered_sequences_mismatched	fraction_taxon_mismatched
d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales		0	0	41291	0	0
d:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales	1.0000	0	1.0	41291	0	0
d:Bacteria,p:Fibrobacteres,c:Fibrobacteria,o:Fibrobacterales	6.0000	0	6.0	41291	0	0
d:Bacteria,p:Elusimicrobia,c:Lineage_IIc,o:uncultured_bacterium		0	0	41291	0	0
d:Bacteria,p:Dependentiae,c:Babeliae,o:Babeliales		0	0	41291	0	0
d:Bacteria,p:Deinococcus-Thermus,c:Deinococci,o:Thermales	1.0000	0	1.0	41291	0	0
d:Bacteria,p:Deinococcus-Thermus,c:Deinococci,o:Deinococcales		0	0	41291	0	0
d:Bacteria,p:Cyanobacteria,c:Sericytochromatia,o:uncultured_bacterium	4.0000	0	4.0	41291	0	0
d:Bacteria,p:Cyanobacteria,c:Sericytochromatia,o:metagenome		0	0	41291	0	0
d:Bacteria,p:Cyanobacteria,c:Oxyphotobacteria,o:Thermosynechococcales	42.0000	0	42.0	41291	0	0
d:Bacteria,p:Cyanobacteria,c:Oxyphotobacteria,o:SepB-3		0	0	41291	0	0
d:Bacteria,p:Cyanobacteria,c:Oxyphotobacteria,o:Pseudanabaenales		0	0	41291	0	0
d:Bacteria,p:Cyanobacteria,c:Oxyphotobacteria,o:Phormidesmiales	48.0000	0	48.0	41291	0	0
d:Bacteria,p:Cyanobacteria,c:Oxyphotobacteria,o:Limnotrichales	1.0000	0	1.0	41291	0	0
d:Bacteria,p:Cyanobacteria,c:Oxyphotobacteria,o:Leptolyngbyales	16.0000	0	16.0	41291	0	0
d:Bacteria,p:Cyanobacteria,c:Oxyphotobacteria,o:Gloeobacterales	1.0000	0	1.0	41291	0	0
d:Bacteria,p:Cyanobacteria,c:Oxyphotobacteria,o:Fr127	1.0000	0	1.0	41291	0	0
d:Bacteria,p:Cyanobacteria,c:Oxyphotobacteria,o:Eurycoccales	4.0000	0	4.0	41291	0	0
d:Bacteria,p:Cyanobacteria,c:Melainabacteria,o:Vampirovibrionales	1.0000	0	1.0	41291	0	0
d:Bacteria,p:Cyanobacteria,c:Melainabacteria,o:Obscuribacterales	5.0000	0	5.0	41291	0	0
d:Bacteria,p:Chloroflexi,c:Dehalococcoidia,o:SAR202_clade	1.0000	0	1.0	41291	0	0
d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:SBR1031	1.0000	0	1.0	41291	0	0
d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Ardenticatenales	1.0000	0	1.0	41291	0	0
d:Bacteria,p:Calditrichaeota,c:Calditrichia,o:Calditrichales	1.0000	0	1.0	41291	0	0
d:Bacteria,p:BRC1,c:uncultured_bacterium,o:uncultured_bacterium	2.0000	0	2.0	41291	0	0
d:Bacteria,p:Bacteroidetes,c:Chlorobia,o:Chlorobiales	1.0000	0	1.0	41291	0	0
d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Sphingobacteriales	1.0000	0	1.0	41291	0	0
d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales		0	0	41291	0	0
d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales		0	0	41291	0	0
d:Bacteria,p:Atribacteria,c:JS1,o:uncultured_candidate_division_JS1_bacterium	1.0000	0	1.0	41291	0	0
d:Bacteria,p:Atribacteria,c:JS1,o:uncultured_bacterium	1.0000	0	1.0	41291	0	0
d:Bacteria,p:Acidobacteria,c:Thermoanaerobaculia,o:Thermoanaerobaculales		0	0	41291	0	0
d:Bacteria,p:Acidobacteria,c:Subgroup_22,o:uncultured_bacterium		0	0	41291	0	0
d:Bacteria,p:Acidobacteria,c:Blastocatellia_(Subgroup_4),o:Chloracidobacteriales		0	0	41291	0	0
d:Bacteria,p:Acidobacteria,c:Blastocatellia_(Subgroup_4),o:Blastocatellales		0	0	41291	0	0
d:Bacteria,p:Acidobacteria,c:Aminicenantia,o:Aminicenantales		0	0	41291	0	0
d:Bacteria,p:Acidobacteria,c:Acidobacteriia,o:Solibacterales	1.0000	0	1.0	41291	0	0
d:Bacteria,p:Acidobacteria,c:Acidobacteriia,o:Acidobacteriales		0	0	41291	0	0
