taxonomic_group	taxon_primer_hits	taxon_primer_misses	taxon_total_observed	total_filtered_seqs	fraction_total_filtered_sequences_mismatched	fraction_taxon_mismatched
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales	14.0000	4	18.0	24945	.00016035	.2222
d:Bacteria,p:Cyanobacteria,c:Oxyphotobacteria,o:Chloroplast	27.0000	4	31.0	24945	.00016035	.1290
d:Bacteria,p:Poribacteria,c:uncultured_bacterium,o:uncultured_bacterium		4	4	24945	.00016035	1.0000
d:Bacteria,p:Planctomycetes,c:Brocadiae,o:SM23-32		4	4	24945	.00016035	1.0000
d:Bacteria,p:Planctomycetes,c:Brocadiae,o:Brocadiales		4	4	24945	.00016035	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:CG1-02-40-25		4	4	24945	.00016035	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Wolfebacteria		4	4	24945	.00016035	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Colwellbacteria		4	4	24945	.00016035	1.0000
d:Bacteria,p:Patescibacteria,c:Microgenomatia,o:Candidatus_Shapirobacteria		4	4	24945	.00016035	1.0000
d:Bacteria,p:Acetothermia,c:Acetothermiia,o:uncultured_Acetothermia_bacterium		4	4	24945	.00016035	1.0000
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Beggiatoales	944.0000	4	948.0	24945	.00016035	.0042
d:Bacteria,p:LCP-89,c:uncultured_bacterium,o:uncultured_bacterium	1564.0000	4	1568.0	24945	.00016035	.0025
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:GWA2-38-13b	1.0000	3	4.0	24945	.00012026	.7500
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Vogelbacteria		3	3	24945	.00012026	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Lloydbacteria		3	3	24945	.00012026	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Jorgensenbacteria		3	3	24945	.00012026	1.0000
